city,country,lat,lon,avg_mean_temp,total_precip,avg_max_wind_gust,total_snow_cm,avg_pressure
Ottawa,Canada,45.4215,-75.6972,7.526272577996716,4558.6,44.20386968245233,1047.1,
Vancouver,Canada,49.2827,-123.1207,10.638774858602446,5601.583333333333,41.220186987216174,242.48088315962698,
Cotonou,,6.3703,2.3912,27.993541324575805,4411.7,0.0,,0.0
Parakou,,9.3376,2.6316,27.3407772304324,6485.5,0.0,,0.0
Plaisance,,-20.3139,57.6986,24.58177339901478,6134.75,38.421072796934865,,1016.9160098522168
Vacoas,,-20.2897,57.4828,21.6940065681445,7603.05,0.0,,1017.3174329501916
